cbo_name,activities,City,HTC,Language
Access California Services,"Social Media post, Friday Prayer, distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Wish List, AccessCal distributed diapers to community members on-site and passed out informational material about the Census, video on facebook, Social Media post about Census forms mailed out and showed MENA vignette, Social Media post showing MENA vignette, Tik Tok video, Facebook post",Anaheim,Born Outside of U.S.,"Arabic, Hindi"
CAIR-LA,"event, flyers",Anaheim,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Hindi, Farsi, Other"
CAP OC,"booths, collateral, flyers, phone_banking",Anaheim,Children Under 5,
Clergy and Laity United for Economic Justice,,Anaheim,,
Institute for Healthcare Advancement ,,Anaheim,,
Jamboree Housing Corporation,"advertising, collateral, flyers, phone_banking",Anaheim,,"Spanish, Other"
KCS,"Tabling flyers and Q&A, Alumni Association Seminar",Anaheim,"Born Outside of U.S., Limited English Speaking Ability",Korean
NALEO Educational Fund,,Anaheim,,
OC Human Relations,"booths,  event, T-Shirts and Tote Bags distribution, Banner at School, Posters at Jimenez Food Truck, Poster at Jimenez Food Truck Board, T-shirts and bags distribution",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese"
OC Labor ,Immigration forum/ Census 101,Anaheim,,
OCAPICA,"event, speaking_engagement, webinar",Anaheim,,
OCCCO,"Facebook post, Census information was distributed at a food distribution center at St. Boniface address, Announcements and information table, event, Mass texting to hard to count census tracts in Santa ana",Anaheim,,"Spanish, Vietnamese, Other"
Orange County United Way,"event, speaking_engagement",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","russian, Spanish, Vietnamese, Other"
Project Access,flyers,Anaheim,,
South Asian Network,booths,Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Hindi
The LGBTQ Center OC,advertising,Anaheim,Limited English Speaking Ability,Spanish
CAP OC ,"booths, speaking_engagement",Brea,,
Jamboree Housing Corporation,"advertising, flyers, phone_banking",Brea,,"Spanish, Vietnamese"
CHIRLA,phone_banking,Buena Park,Limited English Speaking Ability,Spanish
Jamboree Housing Corporation,"flyers, phone_banking",Buena Park,,
KCS,"Send Census text messages to KCS patients/clients, Telehealth and telephone inquiry about Census, Tabling flyers and Q&A, California Immigrant Resilience Fund Project, CIRF Projcet, Love Partners and Supporters event,  Media post, Substance use disorder prevention and intervention group outreach, Telephone inquiry",Buena Park,"Born Outside of U.S., Limited English Speaking Ability","Korean, Spanish"
OCCCO,phone_banking,Buena Park,,Spanish
Orange County Labor Federation,set up a booth for their membership meeting and shared information about the Census. Also collected Pledge Cards.,Buena Park,,
South Asian Network,booths,Buena Park,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Punjabi
AASCSC,booths,Costa Mesa,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Min Nan Chinese, Other"
OCAPICA,event,Costa Mesa,,
OCCCO,"Congregations Spanish-speaking mass, Dissemination of flyers and announcements at Spanish-speaking Groups, 1-1 conversations and flyering outside latino-serving stores, Couples Prayer Group at The Crossing Church, 1-1 conversations with Orange County friends, family, and resgistered voters",Costa Mesa,,Spanish
Orange County Labor Federation,Information on Census and Q&A education forum,Costa Mesa,,
The Cambodian Family,booths,Costa Mesa,,Spanish
Orange County United Way,event,Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Filipino, Spanish, Other"
Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other"
CAP OC,collateral,Fountain Valley,Children Under 5,
